"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2023/02/28（火）22:48","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/02/28（火）21:14","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/02/28（火）19:14","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/28（火）18:01","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/02/28（火）13:19","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/28（火）09:43","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/28（火）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/02/28（火）08:04","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/02/28（火）07:07","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2023/02/27（月）21:37","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/27（月）21:05","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/02/27（月）20:02","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/02/27（月）19:54","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/02/27（月）10:38","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/27（月）09:41","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/27（月）08:59","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/02/27（月）08:39","3階テナント","警備操作","警備解除","-","US00620309","IDカード／キー","○"
"2023/02/27（月）08:09","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/02/24（金）21:50","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/02/24（金）21:44","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/24（金）21:20","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/02/24（金）20:36","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/02/24（金）20:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/02/24（金）19:27","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/24（金）18:58","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/02/24（金）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/24（金）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/02/24（金）08:03","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/02/24（金）07:00","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2023/02/22（水）18:55","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","○"
"2023/02/22（水）18:36","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/22（水）18:14","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/02/22（水）18:01","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/02/22（水）11:59","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/22（水）10:41","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/22（水）09:59","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/22（水）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/02/22（水）08:35","3階テナント","警備操作","警備解除","-","US00620305","IDカード／キー","○"
"2023/02/22（水）08:11","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
