"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/03/31（木）20:04","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/31（木）19:49","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/03/31（木）19:12","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/31（木）18:34","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","○"
"2022/03/31（木）15:11","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/31（木）09:35","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/31（木）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/31（木）08:39","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/03/31（木）08:07","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/03/30（水）23:15","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/30（水）23:11","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/30（水）21:01","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/30（水）19:26","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/03/30（水）19:10","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/03/30（水）18:35","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/30（水）16:40","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/30（水）10:09","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/30（水）09:35","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/30（水）08:47","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/30（水）08:44","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/03/30（水）08:01","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/03/29（火）21:17","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/29（火）19:40","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","○"
"2022/03/29（火）18:32","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/03/29（火）09:49","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/29（火）08:57","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/29（火）08:57","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/29（火）08:56","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/29（火）08:53","5階テナント","警備警報","防犯警報","-","","","○"
"2022/03/29（火）08:41","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/03/28（月）19:01","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/28（月）18:34","3階テナント","警備操作","警備開始","-","US00620310","IDカード／キー","○"
"2022/03/28（月）12:46","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/28（月）09:01","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/03/28（月）08:46","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/03/28（月）07:40","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/28（月）07:11","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/26（土）11:59","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/26（土）10:46","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/25（金）18:28","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/25（金）18:13","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/03/25（金）18:12","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/25（金）18:10","3階テナント","警備操作","警備開始","-","US00620310","IDカード／キー","○"
"2022/03/25（金）15:00","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/25（金）08:47","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/25（金）08:39","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
