"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/11/30（水）20:42","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/11/30（水）19:03","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/11/30（水）18:41","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/30（水）18:36","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/30（水）18:26","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/30（水）18:10","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/30（水）18:07","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/30（水）17:59","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/30（水）15:56","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/30（水）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/30（水）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/30（水）08:35","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/11/30（水）07:08","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/11/29（火）21:06","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/11/29（火）19:05","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/29（火）19:04","3階テナント","警備操作","警備開始","-","US00620310","IDカード／キー","○"
"2022/11/29（火）18:48","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/29（火）12:26","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/29（火）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/29（火）08:57","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/29（火）08:15","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
