"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/04/28（木）20:03","5階テナント","警備操作","警備開始","-","US00620322","IDカード／キー","-"
"2022/04/28（木）19:50","4階テナント","警備操作","警備開始","-","US00620317","IDカード／キー","-"
"2022/04/28（木）19:44","5階テナント","警備操作","警備解除","-","US00620322","IDカード／キー","-"
"2022/04/28（木）18:56","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/04/28（木）18:45","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/04/28（木）18:36","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/28（木）16:42","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/28（木）14:53","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/28（木）09:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/28（木）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/04/28（木）08:03","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/04/28（木）06:30","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","-"
"2022/04/27（水）19:45","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/04/27（水）19:39","3階テナント","警備操作","警備開始","-","US00620304","IDカード／キー","-"
"2022/04/27（水）18:45","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/27（水）18:14","5階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","-"
"2022/04/27（水）18:14","5階テナント","警備操作","警備解除","-","US00620305","IDカード／キー","-"
"2022/04/27（水）17:56","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/04/27（水）17:54","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/04/27（水）17:44","5階テナント","警備操作","警備開始","-","US00620322","IDカード／キー","-"
"2022/04/27（水）10:20","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/27（水）09:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/27（水）09:00","5階テナント","警備操作","警備解除","-","US00620322","IDカード／キー","-"
"2022/04/27（水）08:49","3階テナント","警備操作","警備解除","-","US00620305","IDカード／キー","-"
"2022/04/27（水）08:09","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/04/26（火）19:22","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/26（火）18:50","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","-"
"2022/04/26（火）18:35","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/04/26（火）18:28","5階テナント","警備操作","警備開始","-","US00620322","IDカード／キー","-"
"2022/04/26（火）13:11","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/26（火）12:07","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/26（火）09:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/26（火）09:02","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/04/26（火）08:01","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/04/26（火）06:45","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","-"
"2022/04/25（月）20:28","5階テナント","警備警報","防犯警報","-","","","-"
"2022/04/25（月）19:38","4階テナント","警備操作","警備開始","-","US00620317","IDカード／キー","-"
"2022/04/25（月）18:57","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/25（月）18:56","5階テナント","警備操作","警備開始","-","US00620322","IDカード／キー","-"
