"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/08/31（水）23:10","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/31（水）19:41","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/31（水）19:10","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","-"
"2022/08/31（水）18:50","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/08/31（水）09:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/31（水）08:55","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/31（水）08:31","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/31（水）08:27","3階テナント","警備操作","警備解除","-","US00620311","IDカード／キー","-"
"2022/08/30（火）21:11","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/30（火）19:07","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/30（火）18:36","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","-"
"2022/08/30（火）18:03","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/08/30（火）09:49","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/30（火）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/30（火）08:27","3階テナント","警備操作","警備解除","-","US00620311","IDカード／キー","-"
"2022/08/30（火）08:10","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/29（月）22:30","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/29（月）21:58","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/29（月）19:25","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/08/29（月）19:24","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","-"
"2022/08/29（月）19:02","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","-"
"2022/08/29（月）18:28","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/08/29（月）09:39","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/29（月）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/29（月）08:26","3階テナント","警備操作","警備解除","-","US00620311","IDカード／キー","-"
"2022/08/29（月）08:00","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/28（日）17:30","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/28（日）17:30","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/27（土）13:06","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/27（土）10:36","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/26（金）21:46","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/26（金）20:42","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/26（金）20:13","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/26（金）19:53","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/08/26（金）19:53","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/26（金）18:54","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/26（金）18:51","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/08/26（金）18:48","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/26（金）18:22","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/08/26（金）18:06","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/26（金）17:43","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/08/26（金）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/26（金）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/26（金）08:25","3階テナント","警備操作","警備解除","-","US00620311","IDカード／キー","-"
"2022/08/26（金）08:02","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/25（木）21:05","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/25（木）20:31","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/08/25（木）20:30","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","-"
"2022/08/25（木）20:07","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/25（木）19:35","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","-"
"2022/08/25（木）17:21","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
